m1pp;icred
108690,841;27,59
108508,919;28,18
107710,183;28,11
109017,827;27,85
110230,443;28,04
110625,908;27,46
113557,273;27,43
114503,095;27,68
115587,711;26,9
128687,804;26,03
124009,551;27,02
121412,203;27,09
119395,202;26,78
119018,892;26,19
119445,581;24,59
121345,41;23,84
123867,747;23,24
124702,359;22,74
129716,562;22,49
130681,865;21,91
130500,285;21,66
145124,842;20,55
139314,891;21
135250,669;21,35
135058,079;21,09
133943,661;20,99
134957,133;20,73
136118,137;21
138430,917;21,43
139756,137;21,62
144219,467;21,78
144113,3;22,17
145671,346;22,4
161404,274;22,04
155220,074;23,02
151500,111;23,58
149976,2;23,73
150078,328;23,62
148588,402;23,8
150882,982;23,68
151811,462;23,9
153062,503;23,79
158178,152;23,48
159004,028;24,03
161053,993;24,11
176443,174;23,61
169323,158;24,85
165175,402;25,59
165172,321;25,79
163748,41;26,4
162139,075;27,01
162875,372;27,54
163335,284;28,35
162382,131;28,86
162205,501;29,38
167946,537;30,19
167586,639;30,47
183458,345;29,67
176975,826;31,35
173041,585;31,86
171144,86;32,05
170185,401;32,48
169680,053;32,59
169098,167;32,45
170163,589;32,89
169002,416;33,01
174313,641;33,08
173729,952;33,37
173276,871;33,2
189935,167;32,17
183147,251;32,91
179467,87;32,17
176195,007;32,1
177127,792;30,09
176391,497;29,45
178331,875;28,82
180207,469;28,87
178840,079;28,33
182636,287;26,9
181262,134;27,42
182524,932;26,81
200801,742;25,57
194690,927;26,17
189931,504;26,76
188746,438;26,09
186720,895;25,69
186836,833;24,82
189207,364;24,56
190461,894;24,37
191333,202;24,3
197900,212;24,21
197271,006;24,45
197300,035;24,45
215208,418;23,16
208106,375;24,68
202173,903;25,01
200625,74;25,34
199813,832;25,33
197707,946;25,2
199208,518;25,1
199297,932;24,96
199556,625;25,12
205299,682;24,46
205612,242;23,88
